idColar,acelerometroEixoX,acelerometroEixoY,acelerometroEixoZ,magnetometroEixoX,magnetometroEixoY,magnetometroEixoZ,giroscopioEixoX,giroscopioEixoY,giroscopioEixoZ,horario,data,velocidadeDeslocamento,comportamento
A2,-11889,11184,-17877,-1280,-73,-309,-4013,1260,-31,131911.203,250515,000.0,Pastando
A2,-9144,8945,-11799,-1213,707,-238,-394,2278,-602,131949.203,250515,000.0,Pastando
A2,6391,9265,-11767,570,-405,-1533,-1072,-1094,1854,132148.203,250515,000.0,EmPe
A2,-1394,10206,-13229,671,-73,-1590,287,2253,-2760,132151.203,250515,000.0,Pastando
A2,-4864,5953,-10472,-84,-200,-1767,-7101,9206,-3595,132154.203,250515,000.0,Pastando
A2,-11071,6320,-7086,-1286,98,-114,-745,-312,-1959,132341.203,250515,000.0,Pastando
A2,-3630,5281,-8790,-1180,-340,-575,-2848,-4118,-308,132412.203,250515,000.0,Pastando
A2,-14139,8759,-10304,-438,-508,-1446,-4049,-2901,-5474,132447.203,250515,000.0,Pastando
A2,-8733,8148,-9604,204,-172,-1743,-4681,5066,-8397,132450.203,250515,000.0,Pastando
A2,2849,9329,-13285,1297,189,-1072,-4546,4032,4314,132537.203,250515,003.2,Andando
A2,-4613,15441,-22025,1278,149,-1189,3473,-9923,-4768,132540.203,250515,002.8,Andando
A2,3673,9593,-7534,1250,983,-782,80,-9699,-3035,132543.204,250515,003.1,Pastando
A2,-662,9292,-14097,897,-37,-1511,-3917,-145,-1901,132550.204,250515,001.8,Pastando
A2,-2565,5122,-10197,825,818,-1516,3415,3751,-5875,132553.204,250515,000.0,Pastando
A2,-9221,8936,-11439,-997,-433,-897,1047,-2618,-2625,132618.204,250515,000.0,Pastando
A2,-4600,6567,-11125,-1193,-240,-687,-4202,2890,-4522,132621.204,250515,000.0,Pastando
A2,-32760,14064,-15197,-879,-492,-1035,-2532,-8451,-2291,132623.204,250515,000.0,Pastando
A2,5187,9786,-13277,-987,609,-1190,-1910,-2670,-3932,132630.204,250515,002.2,Andando
A2,-11417,7658,-12057,-315,1533,-102,-6818,2099,-2689,132636.204,250515,000.0,Pastando
A2,-6582,5389,-14377,-584,1429,-198,-3584,2308,-6688,132731.204,250515,002.1,Pastando
A2,-17600,11700,-28718,-795,1322,-569,-9089,7080,-6270,132847.204,250515,000.0,Pastando
A2,-7519,7541,-11701,-992,1118,-386,-1629,-1606,-5607,132912.204,250515,000.0,Pastando
A2,-18281,8237,-15785,-1255,461,-94,3496,5044,979,132958.204,250515,000.0,Pastando
A2,-9370,7886,-9752,-1224,682,-182,871,-2513,-4542,133001.204,250515,000.0,Pastando
A2,-7179,5652,-10342,-178,1599,-193,2019,1459,3572,133114.204,250515,000.0,Pastando
A2,-6880,4982,-12087,527,1426,-922,1124,1033,981,133311.204,250515,000.0,Pastando
A2,-6104,8295,-10524,-1019,992,-110,5256,-764,6406,133511.204,250515,000.0,Pastando
A2,-15768,10281,-12875,429,1567,-758,512,1974,-3895,133605.204,250515,000.0,Pastando
